domain_pattern	org	role	rtb_exchange	external_seat	confidence	source
fundingchoicesmessages.google.com	Google	unknown	no	no	high	Google UMP SDK / Privacy & Messaging API consent fetch (/a/consent). https://trackers.tweasel.org/t/google/fundingchoicesmessages/; own-dns 2026-08-15 resolves. Consent plumbing, not an auction.
imasdk.googleapis.com	Google	unknown	unknown	no	medium	Google Interactive Media Ads SDK (video/VAST) delivery host - https://developers.google.com/interactive-media-ads/docs/sdks/android/client-side/get-started. Present only if the app embeds IMA. No official page quoting the hostname found.
csi.gstatic.com	Google	unknown	unknown	unknown	low	NOT ESTABLISHED as Google Mobile Ads SDK Android traffic. Named in the research brief; no source found tying it to the ad SDK, and it is ABSENT from play-services-ads:24.5.0 string extraction (own check 2026-08-15). Row exists so a parser does not silently promote it to an ad host.
googletagservices.com	Google	unknown	no	no	medium	Google Publisher Tag - a WEB host. No source found for Android SDK traffic; absent from play-services-ads:24.5.0 strings (own check 2026-08-15). Do not treat as a mobile exchange host.
admob.com	Google	unknown	no	no	medium	Publisher console web property. No source found that the Android SDK contacts it at runtime; absent from play-services-ads:24.5.0 strings (own check 2026-08-15).
graph.facebook.com	Meta	unknown	no	no	high	THE Meta Audience Network ad-request host, path /network_ads_common. Meta official: https://developers.facebook.com/docs/audience-network/setting-up/test/validate-ad-requests/ instructs adding Host graph.facebook.com to the SSL-proxy list. CRITICAL: the same host carries ordinary Graph API and app-event traffic (/vN.N/APP_ID/activities), so SNI or DNS ALONE CANNOT separate a Meta ad request from an app event. rtb_exchange=no: Audience Network demand comes from Meta advertisers, not external OpenRTB buyers - https://www.facebook.com/audiencenetwork/.
www.facebook.com	Meta	unknown	no	no	high	Audience Network identifier sync (/adnw_sync2) and AN logging: the literal "https://www.facebook.com/adnw_logging/" is compiled into com.facebook.android:audience-network-sdk:6.20.0 (own-extract 2026-08-15). Also https://trackers.tweasel.org/t/facebook/adnw-sync2/. Shared with all ordinary Facebook web traffic - very low discriminative value.
an.facebook.com	Meta	unknown	unknown	unknown	low	Exists: own-dns 2026-08-15 resolves via star.c10r.facebook.com to 157.240.241.17, and a control query for nonexistent-probe-control.facebook.com returned NXDOMAIN, proving facebook.com is not a wildcard and this name is real. PURPOSE UNVERIFIED - no doc or capture ties it to Audience Network, and it is ABSENT from audience-network-sdk:6.20.0 strings. Named in the brief; kept only so a parser attributes it to Meta rather than guessing a role.
applovin.com	AppLovin	exchange	yes	yes	medium	AppLovin MAX / AppLovin Exchange (ALX). own-extract com.applovin:applovin-sdk:13.3.1 (2026-08-15) endpoint constants: adserver_endpoint=https://a.applovin.com/, fetch_settings/mediation=https://ms.applovin.com/, api=https://d.applovin.com/, event_tracking_v2=https://rt.applovin.com/4.0/pix, md.applovin.com; the SDK also carries the literal "applovin.com,applvn.com". own-dns 2026-08-15 confirms ms./rt./md./a. resolve. Exchange: "The MAX In-App Bidding Exchange collects bids ... from SDK-based demand partners and DSPs via the OpenRTB 2.5 protocol" - https://support.applovin.com/en/max/demand-partners/auction-dynamics. Seat=yes: public DSP oRTB spec and DSP testing docs, https://support.applovin.com/en/max/demand-partners/demand-side-platforms/applovin-ortb-specification/introduction (regional endpoints, first-price, USD). NO published minimum spend or onboarding terms - the commercial gate is unknown.
applvn.com	AppLovin	exchange	yes	yes	medium	AppLovin's short-domain BACKUP endpoints, compiled into applovin-sdk:13.3.1 as *_backup_endpoint: ms.applvn.com, a.applvn.com, d.applvn.com, rt.applvn.com/4.0/pix, md.applvn.com (own-extract 2026-08-15). Same org and seat position as applovin.com. A suffix rule on applovin.com alone MISSES this entire domain.
unityads.unity3d.com	Unity	exchange	yes	yes	medium	Unity Ads SDK hosts compiled into com.unity3d.ads:unity-ads:4.16.2 (own-extract 2026-08-15): gateway.unityads.unity3d.com, scar.unityads.unity3d.com, webview.unityads.unity3d.com. own-dns 2026-08-15 confirms all resolve. Older auction.unityads.unity3d.com still resolves but is ABSENT from 4.16.2 - version drift, do not treat a hit there as current. Exchange and seat: Unity publishes DSP-facing docs (https://docs.unity.com/demand-side-partners/en-us/manual/GettingStarted, https://docs.unity.com/en-us/grow/programmatic/ironsource-exchange/introduction); partners must support OpenRTB 2.5/2.6 and respond within 200ms. Onboarding terms not public.
mediation.unity3d.com	Unity/ironSource	mediation	unknown	yes	medium	ironSource/LevelPlay mediation hosts after the Unity merger: o-sdk., i-sdk., o-ext., o-crash.mediation.unity3d.com compiled into com.ironsource.sdk:mediationsdk:8.10.0 (own-extract 2026-08-15); own-dns confirms. THIS IS THE MEDIATION LANE - a hit here is a waterfall/bidding orchestration call and does NOT establish who ultimately sells the impression. Seat applies to ironSource Exchange: https://docs.unity.com/en-us/grow/is-ads/user-acquisition/ironsource-exchange/getting-started-dsp-onboarding
supersonicads.com	Unity/ironSource	mediation	unknown	yes	medium	Legacy ironSource (Supersonic) hosts. init.supersonicads.com and outcome-ssp.supersonicads.com both resolve (own-dns 2026-08-15) and www.supersonicads.com is still a string in mediationsdk:8.10.0, but current SDK traffic has largely moved to mediation.unity3d.com. Same seat position as ironSource Exchange.
ironsrc.mobi	Unity/ironSource	analytics	no	unknown	medium	android-att.ironsrc.mobi compiled into mediationsdk:8.10.0 (own-extract 2026-08-15); logs.ironsrc.mobi resolves (own-dns). Telemetry lane, not an auction host.
ads.vungle.com	Vungle/Liftoff	exchange	yes	yes	medium	Liftoff Monetize SDK hosts compiled into com.vungle:vungle-ads:7.5.0 (own-extract 2026-08-15): adx.ads.vungle.com (THE exchange/ad request), config.ads.vungle.com, events.ads.vungle.com, logs.ads.vungle.com - all resolve (own-dns). Exchange and seat: "Vungle Exchange is a real-time bidding exchange that provides demand-side-platforms (DSPs) access to ... in-app supply", with a public OpenRTB 2.5 integration guide - https://support.vungle.com/hc/en-us/articles/360045953431-Vungle-Exchange-OpenRTB-2-5-Integration-Guide and https://liftoff.ai/exchange/. Onboarding terms not public.
vungle.com	Vungle/Liftoff	exchange	yes	yes	medium	Parent suffix covering api.vungle.com (CNAME haproxy-prod.ads.vungle.com) and the ads.vungle.com family; both resolve (own-dns 2026-08-15). NOTE adx.vungle.com is NXDOMAIN - the exchange host is adx.ads.vungle.com, not that.
inmobi.com	InMobi	exchange	yes	yes	medium	InMobi SDK hosts compiled into com.inmobi.monetization:inmobi-ads:10.1.4 (own-extract 2026-08-15): ads.inmobi.com, config.inmobi.com, unif-id.ssp.inmobi.com, telemetry.sdk.inmobi.com, crash-metrics.sdk.inmobi.com - all resolve (own-dns). Exchange: InMobi Exchange runs OpenRTB 2.5 with oRTB endpoint https://api.w.inmobi.com/ortb (https://support.inmobi.com/advertise/ad-tracker/overview-ortb/) - note that endpoint is InMobi's SUPPLY ingest, not a host the SDK calls, so do not expect it on the wire from a phone. Seat: public spec plus developer@inmobi.com; terms not public.
inmobicdn.net	InMobi	cdn	no	no	medium	i.l.inmobicdn.net compiled into inmobi-ads:10.1.4 (own-extract 2026-08-15); supply.inmobicdn.net resolves (own-dns). Creative CDN, not an auction host.
chartboost.com	Chartboost	exchange	yes	yes	medium	Chartboost SDK hosts compiled into com.chartboost:chartboost-sdk:9.2.1 (own-extract 2026-08-15): live.chartboost.com, da.chartboost.com, ssp-events.chartboost.com. Chartboost Mediation uses a separate family - non-tracking.auction.mediation-sdk.chartboost.com is THE bid/auction call (/v3/auctions) and config.mediation-sdk.chartboost.com the init; both confirmed resolving (own-dns 2026-08-15). Recent 9.x also accepts SERVER-SUPPLIED per-endpoint host overrides validated only against the ".chartboost.com" suffix, so a fixed host list cannot keep up - MATCH THE SUFFIX. Exchange and seat: public partner OpenRTB 2.3/2.6 bid-request specs at https://docs.chartboost.com/en/partners/exchange/openrtb/2.6-bid-request/. Onboarding terms not public.
telemetry.tk0x1.com	Chartboost	analytics	no	no	medium	Chartboost SDK initialization-error telemetry, hardcoded in recent 9.x. Resolves via envoy1.envoy-track.core-002-ew4.ov1o.com to 35.214.165.164 (own-dns 2026-08-15). LISTED BECAUSE IT DEFEATS SUFFIX MATCHING: neither tk0x1.com nor ov1o.com contains a vendor string, so any *.chartboost.com rule misses it. Binary provenance is a delegated finding (chartboost-sdk 9.13.0) that I did NOT re-extract - hence medium.
inner-active.mobi	Digital Turbine (Fyber/Inneractive)	exchange	yes	yes	medium	DT Exchange / Fyber Marketplace SDK hosts compiled into com.fyber:marketplace-sdk:8.3.7 (own-extract 2026-08-15): wv.inner-active.mobi (ad request, /simpleM2M/...), 9wv., 7., cdn2. and sdk-events.inner-active.mobi. wv. CNAMEs to waterfall.inner-active.mobi (own-dns); m2m1. and ad-tag. are reported to share that same backend. NOTE ia.inner-active.mobi, named in the brief, is NXDOMAIN. Exchange and seat: Fyber Marketplace follows OpenRTB 2.5 for demand partners (https://marketplace-demand.fyber.com/docs/openrtb-25-spec) and DT publishes a self-serve bidder intake form at https://dsp-form.prod.fyber.com/ - the most openly advertised onboarding path in this table.
fyber.com	Digital Turbine (Fyber/Inneractive)	exchange	yes	yes	medium	init-mp.fyber.com compiled into marketplace-sdk:8.3.7 and resolves (own-extract + own-dns 2026-08-15). Same org and seat as inner-active.mobi. https://developer.digitalturbine.com/hc/en-us/categories/360001778477-Fyber-Marketplace
ad.smaato.net	Smaato/Verve	exchange	yes	yes	high	THE Smaato in-app ad request. own-extract com.smaato.android.sdk:module-core:22.7.2 BuildConfig (2026-08-15), verbatim field names: SOMA_API_URL=https://sdk.ad.smaato.net/oapi/v6/ad and SOMA_UB_URL=https://unifiedbidding.ad.smaato.net/oapi/unifiedbidding. Both resolve (own-dns). NOTE bare ads.smaato.net and prebid.smaatolabs.net are NXDOMAIN - do not use those. Seat=yes: Smaato publishes a DSP onboarding process with a stated credit/contract/tech-questionnaire and test-account sequence - https://developers.smaato.com/demand-partners/openrtb-2-5-specifications/ and https://wiki.smaato.com/display/DSP/DSP+Onboarding+Guide; intake at https://www.smaato.com/advertisers/ (now Verve, https://developers.verve.com/docs/overall-integration-process-2).
smaato.net	Smaato/Verve	exchange	yes	yes	high	Smaato SDK support hosts, all own-extract module-core:22.7.2 BuildConfig (2026-08-15): PUBLISHER_CONFIGURATION_URL=https://sdk-hb-cfg.smaato.net, EVENT_LOG_URL=https://hbsdk-event.log.smaato.net, PUBLISHER_CONFIGURATION_LOG_URL=https://hbsdk-config.log.smaato.net, SDK_REMOTE_CONFIG_URL=https://sdk-files.smaato.net/smaato_sdk_remote_config.json, SOMA_VIOLATIONS_AGGREGATOR_URL=https://impact.smaato.net/pingback.php, plus geoclue.smaato.net. TRAP: PUBLISHER_CONFIGURATION_DNS_URL=sdk-hb.smaato.net is a DNS-ONLY lookup with NO A record (own-dns confirms NOERROR/no-answer) - an SNI-only capture will never see it, only a DNS log will.
nextgen.verve.net	Smaato/Verve	exchange	yes	yes	high	CURRENT-GENERATION Verve/Smaato SDK API. own-extract com.smaato.android.sdk:module-core:23.2.1 (2026-08-15) contains https://api.nextgen.verve.net/ as the NGSDKApiClient base - the 22.7.2 smaato.net constants above are GONE from 23.2.1. own-dns resolves via api-us-east.nextgen.verve.net. A Smaato rule written only against smaato.net misses every app on the new SDK. Same org and seat as ad.smaato.net.
pubnative.net	Smaato/Verve	exchange	yes	yes	medium	Verve's PubNative/HyBid SDK. api.pubnative.net (ad request base) and dsp.pubnative.net (OpenRTB bid) both resolve (own-dns 2026-08-15). SDK constants are a delegated finding from github.com/pubnative/pubnative-hybid-android-sdk that I did NOT re-extract. Same org and seat as Smaato/Verve.
vervegroupinc.net	Smaato/Verve	unknown	unknown	unknown	medium	sdkc.vervegroupinc.net - Verve/HyBid SDK remote config; resolves via us-sdkc.vervegroupinc.net (own-dns 2026-08-15). Config lane, not an auction. Org attribution is solid (Verve Group); exact role is a delegated finding not re-extracted.
mtgglobals.com	Mintegral	exchange	yes	unknown	low	Mintegral domain. Apex resolves NOERROR but rtb.mtgglobals.com is NXDOMAIN (own-dns 2026-08-15). NO hostname literals could be extracted from com.mbridge.msdk.oversea:same:16.8.61 or :mbbid:16.8.61 - Mintegral builds its endpoints at runtime (own check 2026-08-15), so NO SDK-binary evidence exists for any Mintegral host. Exchange: Mintegral ADX sends bid requests to external DSPs per its public OpenRTB 2.5 spec https://github.com/Mintegral-official/mtgrtb_doc/blob/master/mtgrtb_en.md - a doc that names NO endpoint, QPS, whitelist or onboarding contact, hence external_seat=unknown.
rayjump.com	Mintegral	unknown	unknown	unknown	low	Mintegral-associated infrastructure. net.rayjump.com, hb.rayjump.com, configure.rayjump.com and analytics.rayjump.com all resolve; adx.rayjump.com is NXDOMAIN (own-dns 2026-08-15). NOT present in the Mintegral SDK binaries checked. Role inferred from hostname prefixes only - PURPOSE UNVERIFIED.
mbtrx.com	Mintegral	unknown	unknown	unknown	low	mbtrx.com and ads.mbtrx.com both resolve to 69.61.92.144 (own-dns 2026-08-15). Named in the research brief. NOT present in the Mintegral SDK binaries checked and no document found stating its function. Even the org attribution to Mintegral is only weakly established - treat the whole row as a lead.
pangle.io	Pangle/ByteDance	unknown	no	no	low	Pangle domain. Apex resolves NOERROR with no A record; api.pangle.io and api-access.pangle.io are NXDOMAIN (own-dns 2026-08-15). NO hostname literals extractable from com.pangle.global:pag-sdk:8.1.0.7, which is a thin shell over a downloaded payload (own check 2026-08-15). rtb_exchange=no and external_seat=no: Pangle self-describes as "the ad network of TikTok for Business" with demand from "direct TikTok For Business advertisers" and publishes no external-DSP integration path - https://www.pangleglobal.com/. This is absence of evidence, not proof of absence.
pangolin.snssdk.com	Pangle/ByteDance	unknown	no	no	low	Resolves via ByteDance CDN (bytedns1.com then cdngslb.com; own-dns 2026-08-15) and "pangolin" is Pangle's Chinese-market brand. PURPOSE UNVERIFIED - no doc and no SDK-binary evidence. Included so a parser attributes it to ByteDance rather than guessing a role.
adsdk.yandex.ru	Yandex	exchange	yes	yes	high	Yandex Mobile Ads SDK host, compiled into com.yandex.android:mobileads:7.14.1 as a <clinit> String constant alongside the literal "yandex.ru/ads" (own-extract 2026-08-15); resolves to 87.250.250.120 (own-dns). Seat=yes and this is the most actionable row in the table for a Russia-based buyer: Yandex publishes a DSP-to-SSP connection procedure at https://yandex.ru/dev/rtb/doc/api/connection.html with a named intake address (newpartners@yandex-team.ru) that supplies access, a CONTRACT TEMPLATE and connection details. That doc states no minimum budget, QPS or IP-whitelist requirement; it does require manual creative moderation and that responses go back to the source IP.
mobile.yandexadexchange.net	Yandex	exchange	yes	yes	medium	Reported by a delegated agent as the documented Yandex Mobile Ads SDK load URL (mobile.yandexadexchange.net/v4/ad, per ads.yandex.com/helpcenter/en/support/faq/sdk-errors). I CONFIRMED THE HOST EXISTS - own-dns 2026-08-15 resolves to 213.180.193.198, a Yandex IP - but the doc page is JS-rendered and I could NOT re-verify the quote myself, and the host is ABSENT from mobileads:7.14.1 string extraction. Treat the host as real and Yandex-owned; treat "this is THE ad request URL" as a delegated claim. Same seat position as adsdk.yandex.ru.
yandexadexchange.net	Yandex	exchange	yes	yes	medium	Yandex ad-exchange apex; resolves to Yandex IPs shared with an.yandex.ru (own-dns 2026-08-15). Suffix pattern covering mobile.yandexadexchange.net. Same seat as adsdk.yandex.ru.
an.yandex.ru	Yandex	exchange	yes	yes	medium	Yandex Advertising Network (YAN/RSYa) serving host; resolves to Yandex IPs (own-dns 2026-08-15). Predominantly the web/RTB-block lane - ABSENT from mobileads:7.14.1 strings, so a hit here from a phone is more likely an in-Yandex-app or WebView path. Same seat position: https://yandex.ru/support2/partner/ru/technologies/rtb
adfox.ru	Yandex	ssp	unknown	unknown	low	Yandex AdFox ad server. ads.adfox.ru and adfox.yandex.ru resolve to Yandex IPs (own-dns 2026-08-15). Ad-serving/mediation layer rather than the exchange itself; no source found establishing whether traffic seen here is sold through the Yandex RTB auction.
appmetrica.yandex.net	Yandex	analytics	no	no	medium	Yandex AppMetrica event reporting (report.appmetrica.yandex.net), with config bootstrap at startup.mobile.yandex.net. Delegated finding citing Yandex's own appmetrica-sdk-android repo; NOT re-extracted here. Analytics, not an exchange. CLASSIFY OUT.
ad.mail.ru	MyTarget/VK	exchange	yes	yes	high	THE myTarget/VK Ad Network SDK ad host. own-extract com.my.target:mytarget-sdk:5.27.1 (2026-08-15) literals: https://ad.mail.ru/mobile/adcontext (ad request), https://ad.mail.ru/sdk/ms/ (settings/mediation), https://ad.mail.ru/sdk/log/ and /sdk/log/v2 (telemetry), plus the bare host constant "ad.mail.ru". Resolves to 155.212.203.195 (own-dns); alt-ad.mail.ru resolves to the SAME IP and is the documented failover. Seat=yes: VK Ad Network publishes a Buyer protocol AND a Buyer in-app bidding protocol based on OpenRTB 2.x - https://targetmycom.gitbook.io/openrtb_spec - with partner intake at https://ads.vk.com/partner. Onboarding terms, QPS and endpoint details are NOT public.
r.my.com	MyTarget/VK	exchange	yes	yes	low	Older international myTarget ad host (/mobile/), resolves to 95.163.41.56 (own-dns 2026-08-15). ABSENT from mytarget-sdk:5.27.1 - superseded by ad.mail.ru in the 5.x SDK. Delegated finding for the historical role; kept so an older app's traffic is attributed correctly.
target.my.com	MyTarget/VK	exchange	yes	yes	medium	Compiled into mytarget-sdk:5.27.1 (own-extract 2026-08-15) but only as the "Go to myTarget" footer/landing link, NOT as the ad-request host. Resolves to 89.221.236.19 (own-dns), the same IP as ads.vk.com. Same org and seat as ad.mail.ru; do not read a hit here as an impression sale.
ads.vk.com	MyTarget/VK	exchange	yes	yes	medium	VK Ads console/partner domain, resolves to 89.221.236.19 (own-dns 2026-08-15), same IP as target.my.com. Hosts the partner intake page for the OpenRTB Buyer protocol. Not established as an on-device ad-request host.
amazon-adsystem.com	Amazon	exchange	yes	unknown	high	Amazon Publisher Services / TAM. Hostnames read directly out of the constant pool of com.amazon.android:aps-sdk:11.1.1 (own-extract 2026-08-15): aax.amazon-adsystem.com (bid/ad request), s.amazon-adsystem.com/api3 (device/identity registration), mads.amazon-adsystem.com (SDK remote config), c.amazon-adsystem.com (creative/JS CDN), video-player.aps.amazon-adsystem.com, aax-dtb-mobile-geo., plus legacy aax-us-east./aax-eu./aax-fe-sin. All confirmed resolving (own-dns); aan.amazon-adsystem.com is NXDOMAIN. STRUCTURAL CAVEAT: the SDK bootstraps from mads/getConfig and then uses RUNTIME-SUPPLIED regional hosts, so any static list is a snapshot of one region at one moment. external_seat=unknown: APS names 20+ demand partners but publishes no onboarding path for a new small buyer - https://aps.amazon.com/aps/solutions-for-programmatic-bidders/.
publishers.advertising.a2z.com	Amazon	analytics	no	no	high	APS SDK telemetry, deliberately NOT on the amazon-adsystem.com suffix: prod.cm.publishers.advertising.a2z.com/logrecord/putlog and prod.tahoe-analytics.publishers.advertising.a2z.com/logevent/putRecord, both compiled into aps-sdk:11.1.1 (own-extract 2026-08-15). Listed because an amazon-adsystem.com-only rule misses APS telemetry entirely.
adx-dre.op.dbankcloud.com	Huawei	exchange	unknown	unknown	medium	Huawei Ads (Petal Ads) exchange host, EU region. own-dns 2026-08-15 resolves via adx-dre.op.dbankcloud.com.huawei.com.akadns.net then .edgekey.net - the Akamai CNAME chain through huawei.com is what attributes it to Huawei. The publisher HMS Ads SDK hard-codes NO ad hostnames; endpoints are resolved at runtime via Huawei's GRS service, so no static list can be complete. Region suffixes: dre=Europe, dra=Asia/Africa/LatAm, drru=Russia, drcn=China. No official Huawei allowlist page found.
adx-drru.op.dbankcloud.com	Huawei	exchange	unknown	unknown	low	Huawei Ads exchange host, Russia region, by the dre/dra/drru/drcn convention. NOT independently DNS-verified here (only the dre form and the ppscrowd-drru form were probed). Petal Ads is an exchange that partners with third-party SSPs and DSPs (https://www.adexchanger.com/mobile/petal-ads-hopes-to-blossom-with-global-advertisers/) but publishes no external-seat onboarding path.
ppscrowd-drru.op.dbankcloud.com	Huawei	attribution	no	no	medium	Huawei Ads conversion-data postback endpoint, Russia region (/action-lib-track/hiad/v2/overseas/actionupload). Resolves to 159.138.207.196 (own-dns 2026-08-15). SERVER-to-server MMP postback - normally hit by AppsFlyer/Adjust backends, not by the device.
grs.dbankcloud.com	Huawei	unknown	no	no	medium	Huawei GRS (Global Resolution Service) - the bootstrap host from which the HMS Ads SDK LEARNS its actual ad endpoints. Resolves to 80.158.x (own-dns 2026-08-15). Not an ad host itself; its presence is the tell that any static Huawei hostname list is incomplete. Also note ad loading is delegated into the HMS Core process, so uid-scoped capture under-reports Huawei traffic.
pubmatic.com	PubMatic	exchange	yes	yes	medium	PubMatic exchange and OpenWrap. ads.pubmatic.com (OpenWrap SDK config), hbopenbid.pubmatic.com (bid) and ow.pubmatic.com (OpenWrap SDK in-app ad request, /openrtb/2.5) all resolve (own-dns 2026-08-15); ow. CNAMEs into pubmnet.com. Mobile SDK not binary-verified here. Exchange and seat: PubMatic publishes a public Demand Partner Master Services Agreement (https://pubmatic.com/legal/demand-service-agreement/) and supports OpenRTB 2.5 for demand partners - a real contractual path, though onboarding is rep-mediated. NOTE gads.pubmatic.com and hb.pubmatic.com are NXDOMAIN.
pubmnet.com	PubMatic	exchange	yes	yes	medium	PubMatic's backend/CNAME tier - ow.pubmatic.com resolves through owv2.pubmnet.com and hbopenbid. through hbprebid-v3.pubmnet.com (own-dns 2026-08-15). Visible at the DNS/IP layer only; SNI still carries *.pubmatic.com. Same org and seat as pubmatic.com.
rubiconproject.com	Magnite	exchange	yes	unknown	medium	Magnite (Rubicon Project) exchange. fastlane.rubiconproject.com and prebid-server.rubiconproject.com resolve (own-dns 2026-08-15). Predominantly a web/CTV supply path; not established as an Android in-app SDK host. Seat=unknown: Magnite's bidder documentation is behind login and directs to "your dedicated Account Management representative" (https://help.magnite.com/help/openrtb-specification) - no public onboarding path found for a small independent buyer. NOTE exchange.rubiconproject.com is NXDOMAIN.
tremorhub.com	Magnite (Telaria/Tremor)	exchange	yes	unknown	medium	Magnite's Telaria/Tremor video lane: ads.tremorhub.com/ad/rtb/prebid is the server-side bid endpoint and config.tremorhub.com the SDK config, per Prebid's telaria bidder config. Delegated finding, NOT DNS-probed here. Client ad tags use a PER-PUBLISHER prefix (<supplyCode>.ads.tremorhub.com), so a fixed host list is structurally incomplete. Same seat position as rubiconproject.com.
magnite.com	Magnite	exchange	yes	unknown	low	Magnite corporate/exchange domain. NOT DNS-probed and NOT established as an on-device host. Present only so a parser attributes it to Magnite; see rubiconproject.com for the seat position.
casalemedia.com	Index Exchange	exchange	yes	unknown	medium	Index Exchange serving domain; htlb.casalemedia.com and ssum.casalemedia.com resolve (own-dns 2026-08-15). CRITICAL for this project: IX appears to have NO in-app bid endpoint of its own - Prebid's ix bidder ships disabled with a placeholder, and IX's mobile guidance is to have the publisher's Prebid Server host add ix as a bidder. So IN-APP IX DEMAND ARRIVES VIA THE PUBLISHER'S PREBID SERVER, and the ABSENCE of an IX hostname on the wire is NOT absence of IX. Seat=unknown: IX publishes DSP-facing OpenRTB field docs (https://kb.indexexchange.com/dsps/open-rtb/list_of_supported_openrtb_bid_request_fields_dsp.htm) but onboarding runs through a rep, and IX has publicly positioned itself as sell-side only.
indexww.com	Index Exchange	exchange	yes	unknown	low	Index Exchange domain (js-sec.indexww.com, cdn.indexww.com, *.lb.indexww.com load-balancer tier). NOT DNS-probed here and not established as an on-device host. See casalemedia.com for the seat position and the in-app caveat.
openx.net	OpenX	exchange	yes	unknown	medium	OpenX exchange. us-u.openx.net and rtb.openx.net both resolve (own-dns 2026-08-15). Predominantly a web supply path; not established as an Android in-app SDK host. STRUCTURAL: OpenX uses PER-PUBLISHER delivery domains of the form <publisher>-d.openx.net (this is literally the delDomain Prebid param, https://docs.prebid.org/dev-docs/bidders/openx.html), so no fixed hostname list is ever complete - match the .openx.net suffix. Seat=unknown: OpenX maintains DSP Partner Docs at https://docs.openx.com/ but onboarding is via an account manager (support@openx.com); no public self-serve path found.
criteo.com	Criteo	dsp	no	no	high	Criteo publisher SDK. own-extract com.criteo.publisher:criteo-publisher-sdk:7.0.0 (2026-08-15) contains exactly two runtime hosts: bidder.criteo.com (bid/CDB, config, metrics, logs) and gum.criteo.com (app event / user match). Both resolve (own-dns). Traffic here is Criteo's OWN direct-bidder demand, not a neutral exchange - Criteo is primarily a DSP / retail-media buyer, so external_seat=no. Its SSP, Commerce Grid (https://www.criteo.com/platform/commerce-grid/), is a separate product and was NOT established as reachable from this SDK host.
criteo.net	Criteo	cdn	no	no	medium	Criteo creative/static delivery; static.criteo.net resolves (own-dns 2026-08-15). Not an auction host.
